species,n_presence,n_train_presence,n_background,auc,boyce,threshold,sensitivity,specificity,tss,omission_rate,tss_max,fold
Betula pendula,446,2301,10349,0.6473463998817935,0.9144289878576566,0.4927959442138672,0.4618834080717489,0.7332109382549039,0.1950943463266528,0.5381165919282511,0.23454379379390222,1
Pyrus communis,415,2302,10306,0.6617104552500708,0.9596971461852067,0.551788330078125,0.43373493975903615,0.7502425771395304,0.18397751689856645,0.5662650602409638,0.24089043930427706,1
Rhaphiolepis bibas,246,2447,10496,0.9055431879585564,0.8609926062721605,0.4524639844894409,0.6422764227642277,0.9191120426829268,0.5613884654471546,0.3577235772357723,0.7065548780487805,1
Castanea sativa,434,2269,10405,0.730331150612188,0.748297893419176,0.4364272356033325,0.315668202764977,0.9010091302258529,0.2166773329908298,0.684331797235023,0.330681367740164,1
Ilex aquifolium,493,2183,10368,0.6990057956452057,0.9758472676185752,0.43923428654670715,0.3975659229208925,0.8294753086419753,0.22704123156286782,0.6024340770791075,0.28419105908646985,1
Punica granatum,290,2373,10477,0.8943985676341938,0.9491174988901596,0.5120842456817627,0.5827586206896552,0.9179154338073876,0.5006740544970429,0.4172413793103448,0.6500666484549078,1
Prunus domestica,431,2239,10296,0.6772336969552747,0.9213511939429238,0.5158239006996155,0.5986078886310905,0.618978243978244,0.21758613260933446,0.4013921113689095,0.2424839597113379,1
Carpinus betulus,586,2065,10343,0.7279329245777676,0.4095702084181851,0.5058249235153198,0.20819112627986347,0.9023494150633279,0.11054054134319147,0.7918088737201365,0.38246935570676643,1
Cupressus sempervirens,208,2375,10469,0.864460642042073,0.972885768454237,0.6051353216171265,0.5721153846153846,0.9047664533384278,0.4768818379538122,0.4278846153846154,0.5979632174111112,1
Quercus robur,353,2249,10409,0.7617043651209443,0.8956202679091438,0.46682530641555786,0.3031161473087819,0.8949947161110577,0.19811086341983963,0.6968838526912181,0.41653265301845727,1
Pyrus pyraster,380,2224,10311,0.6890253893389278,0.9824548120449694,0.4972263276576996,0.6710526315789473,0.5770536320434487,0.24810626362239607,0.32894736842105265,0.2736038160574552,1
Ulmus minor,186,2395,10436,0.7726773946265408,0.8415856865698548,0.5192465782165527,0.3279569892473118,0.9146224607129169,0.24257944996022873,0.6720430107526882,0.4386511537811629,1
Juglans regia,492,2105,10273,0.7127411503356735,0.9832032615026208,0.5201341509819031,0.5447154471544715,0.7292903728219605,0.2740058199764319,0.4552845528455285,0.29506762141504406,1
Crataegus laevigata,667,1929,10234,0.6771057992598385,0.9123238206173558,0.492991179227829,0.42278860569715143,0.7376392417432089,0.16042784744036043,0.5772113943028485,0.30690156192179463,1
Corylus avellana,480,2115,10368,0.6605201501414609,0.8837507280139779,0.511347234249115,0.2791666666666667,0.8351658950617284,0.11433256172839501,0.7208333333333333,0.24459876543209869,1
Robinia pseudoacacia,372,2211,10363,0.7211289336857036,0.9759464181712288,0.45734643936157227,0.6881720430107527,0.6290649425841938,0.3172369855949464,0.31182795698924726,0.35445972488972866,1
Malus domestica,417,2136,10252,0.6762980563656761,0.9604163087294907,0.4947666823863983,0.4892086330935252,0.7260046820132657,0.21521331510679098,0.5107913669064748,0.26814771358878564,1
Fraxinus excelsior,563,1993,10372,0.6710144609856157,0.8741903280450357,0.47771432995796204,0.41740674955595025,0.7710181257231007,0.18842487527905094,0.5825932504440497,0.26351055136146706,1
Ulmus glabra,578,1974,10272,0.7539798114132954,0.9858590564938847,0.4863574206829071,0.7716262975778547,0.6002725856697819,0.37189888324763665,0.22837370242214527,0.40294205230195435,1
Acer campestre,381,2167,10378,0.6598687714623453,0.4135585323238206,0.45695918798446655,0.5013123359580053,0.7122759683946811,0.21358830435268628,0.4986876640419947,0.2984424957094277,1
Pinus pinaster,116,2369,10507,0.9264964572058694,0.9393846737261601,0.530957818031311,0.6637931034482759,0.9384220043780337,0.6022151078263096,0.3362068965517241,0.7290000426644963,1
Tilia cordata,380,2155,10340,0.6580807798025043,0.940742056605992,0.4710877239704132,0.6052631578947368,0.6085106382978723,0.21377379619260917,0.39473684210526316,0.2633258678611422,1
Mespilus germanica,268,2249,10396,0.6559626836957957,0.15710320665093372,0.4941573739051819,0.007462686567164179,0.9963447479799923,0.003807434547156374,0.9925373134328358,0.30915880390276396,1
Abies alba,661,1821,10325,0.7708284827816098,0.9915666860803728,0.4249957203865051,0.913767019667171,0.4317675544794189,0.34553457414658983,0.086232980332829,0.387456674713271,1
Tilia platyphyllos,516,1962,10306,0.7223102896333438,0.9875014560279557,0.5288150310516357,0.8042635658914729,0.5296914418785174,0.3339550077699902,0.19573643410852715,0.33841842713734904,1
Pinus sylvestris,401,2076,10382,0.6366044049959863,0.9639603960396039,0.5156487822532654,0.6583541147132169,0.5384319013677519,0.1967860160809689,0.3416458852867831,0.20549714136927,1
Fagus sylvatica,430,2040,10406,0.7245426386387103,0.9901688992428654,0.4291825294494629,0.7372093023255814,0.602729194695368,0.33993849702094936,0.26279069767441865,0.3466653853546031,1
Cormus domestica,108,2311,10479,0.7647543764778234,0.921583701726182,0.5784156322479248,0.5,0.8439736616089322,0.34397366160893217,0.5,0.397368811697469,1
Acer platanoides,675,1734,10245,0.6866244419138514,0.9923820617355853,0.4948868453502655,0.7525925925925926,0.5228892142508541,0.2754818068434468,0.2474074074074074,0.2852383276394989,1
Crataegus monogyna,383,2014,10421,0.6639333911766334,0.6050087361677344,0.525068998336792,0.19321148825065274,0.8839842625467805,0.07719575079743324,0.8067885117493473,0.26669360898346706,1
Aesculus hippocastanum,538,1853,10237,0.7285231282544222,0.9952591729761211,0.4792308509349823,0.5130111524163569,0.7992575949985348,0.31226874741489175,0.48698884758364314,0.33190140873201046,1
Cornus mas,274,2113,10401,0.6949138804031336,0.9705561169409729,0.5182621479034424,0.4306569343065693,0.7664647630035574,0.19712169731012663,0.5693430656934306,0.3205313638427524,1
Pinus nigra,325,2048,10432,0.7282609721566777,0.9108095515433896,0.5217524170875549,0.8092307692307692,0.5956671779141104,0.4048979471448795,0.1907692307692308,0.41529789995280797,1
Sorbus aucuparia,631,1738,10280,0.8021456276554416,0.9726120344014284,0.4953063726425171,0.8652931854199684,0.584727626459144,0.45002081187911225,0.13470681458003164,0.48725773431092645,1
Alnus glutinosa,357,1997,10362,0.6723473021712063,0.8447874199184624,0.5045022368431091,0.3697478991596639,0.7798687512063308,0.1496166503659948,0.6302521008403361,0.30259237452942966,1
Prunus cerasus,483,1857,10262,0.6767557488622117,0.9876412347117065,0.4759729504585266,0.6045548654244306,0.6193724420190996,0.22392730744353018,0.3954451345755694,0.27953700016099914,1
Salix alba,364,1953,10317,0.6950830380243,0.9463133372160746,0.5393769145011902,0.5439560439560439,0.72530774449937,0.2692637884554139,0.4560439560439561,0.30245876058612314,1
Ficus carica,239,2030,10436,0.8394128948554328,0.9695601909190524,0.5032387971878052,0.694560669456067,0.7981985435032579,0.4927592129593248,0.305439330543933,0.5331917517572741,1
Taxus baccata,539,1780,10269,0.7283607145883345,0.9976354105998835,0.5051243305206299,0.47680890538033394,0.8349401110137307,0.3117490163940646,0.5231910946196661,0.33702620293330193,1
Aria edulis,584,1727,10322,0.7424563473947122,0.9901613741874375,0.5082323551177979,0.9366438356164384,0.3764774268552606,0.313121262471699,0.06335616438356162,0.3472268303105749,1
Picea abies,743,1560,10236,0.7740564271352212,0.9911822947000583,0.4691826105117798,0.8815612382234186,0.5039077764751856,0.3854690146986042,0.11843876177658141,0.42140609476384244,1
Juniperus communis,309,1985,10393,0.6934851905860211,0.9392088860315111,0.5014799237251282,0.7669902912621359,0.4930241508707784,0.26001444213291425,0.23300970873786409,0.3034298975816745,1
Populus alba,222,2024,10404,0.738996349290467,0.9492106849506902,0.5227928161621094,0.47297297297297297,0.8230488273740869,0.2960218003470598,0.527027027027027,0.35849257562060327,1
Salix fragilis,389,1866,10246,0.6612204800468877,0.9657891671520094,0.5333487391471863,0.5886889460154242,0.6391762639078665,0.22786520992329073,0.4113110539845758,0.2615825499900394,1
Betula pubescens,372,1886,10309,0.7541480353840522,0.9337449039021549,0.5228696465492249,0.6559139784946236,0.7329517896983219,0.3888657681929455,0.34408602150537637,0.39048691142617836,1
Acer pseudoplatanus,563,1693,10314,0.5961039177981884,0.7170646476412347,0.44535014033317566,0.3765541740674956,0.7165018421562924,0.0930560162237879,0.6234458259325044,0.17875993967054393,1
Laurus nobilis,130,2066,10481,0.8288947766287714,0.8508734891529738,0.4385674297809601,0.47692307692307695,0.9034443278313138,0.3803674047543908,0.523076923076923,0.5146624294510946,1
Prunus padus,574,1672,10275,0.6560027806743135,0.9791729761211415,0.4572788178920746,0.7247386759581882,0.49965936739659367,0.22439804335478186,0.2752613240418118,0.2360222793051705,1
Prunus mahaleb,339,1905,10365,0.7737034807690392,0.979336051252184,0.449209064245224,0.7551622418879056,0.6391702846116739,0.3943325264995794,0.2448377581120944,0.41148094548962855,1
Acer negundo,372,1848,10346,0.8741669940489182,0.9847029257552693,0.4684293270111084,0.8360215053763441,0.7539145563502803,0.5899360617266245,0.16397849462365588,0.6015815161020102,1
Populus nigra,389,1817,10328,0.7035780387854217,0.9708065544786487,0.5455373525619507,0.6529562982005142,0.6298412083656081,0.28279750656612235,0.34704370179948585,0.293637581914739,1
Paulownia tomentosa,408,1746,10421,0.8215906888616689,0.9898514555995831,0.5081132650375366,0.5735294117647058,0.8343729008732367,0.40790231263794263,0.42647058823529416,0.4663899817675847,1
Cedrus atlantica,382,1741,10341,0.7429686942283829,0.9852300524170065,0.4863106608390808,0.7041884816753927,0.6485833091577217,0.3527717908331143,0.2958115183246073,0.37043897341492793,1
Fraxinus angustifolia,130,1988,10454,0.8376374151962444,0.8727282257702285,0.6255608201026917,0.38461538461538464,0.8903768892290033,0.27499227384438796,0.6153846153846154,0.5878073906197112,1
Ailanthus altissima,253,1808,10412,0.8340289176823944,0.9804542807221899,0.4813443124294281,0.6363636363636364,0.8367268536304264,0.47309048999406267,0.36363636363636365,0.5077043211010707,1
Quercus ilex,129,1823,10506,0.9208307692761759,0.9400955745458445,0.478831022977829,0.813953488372093,0.9155720540643442,0.7295255424364373,0.18604651162790697,0.7366311166598045,1
Cercis siliquastrum,175,1883,10453,0.8432294214921212,0.9313919627256844,0.5954390168190002,0.46285714285714286,0.8996460346312064,0.36250317748834915,0.5371428571428571,0.5536493966188791,1
Larix decidua,386,1624,10337,0.790645029350274,0.9750465202327895,0.5346673130989075,0.8290155440414507,0.5807294185934023,0.40974496263485305,0.17098445595854928,0.4513521276003852,1
