species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Paulownia tomentosa,0,0,0,,0,0,5,,skip_no_records
Ailanthus altissima,3123,1752,243524,0.8273071942041256,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Melia azedarach,3766,2252,243024,0.8501414218842062,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Triadica sebifera,3794,2320,242956,0.8824757180507292,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Albizia julibrissin,3803,2738,242538,0.8376609404584453,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Koelreuteria paniculata,3533,696,244580,0.8615647065581318,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Zelkova serrata,3063,262,245014,0.9094453082509902,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Styphnolobium japonicum,3020,280,244996,0.9042491302237089,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pyrus calleryana,3269,1554,243722,0.8727014450933547,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Elaeagnus angustifolia,3728,2426,242850,0.9335935814740839,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tamarix ramosissima,3721,2765,242511,0.9184733632130069,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus tremuloides,3644,2921,242355,0.8707410697311477,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus grandidentata,0,0,0,,0,0,5,,skip_no_records
Populus deltoides,3625,2666,242610,0.8465788234442764,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus fremontii,3753,2303,242973,0.9195517700966749,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus balsamifera,2401,1742,243534,0.8492767359717552,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus trichocarpa,3721,2328,242948,0.8836872808942595,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus alba,3327,1985,243291,0.7603874685818963,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Populus nigra,811,518,244758,0.786338012909085,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Salix nigra,3510,2798,242478,0.7659141025345121,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Salix amygdaloides,2609,2144,243132,0.9226216818045849,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Salix babylonica,961,537,244739,0.8257291096598556,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Salix alba,785,622,244654,0.8111922708089061,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Alnus rubra,3572,2063,243213,0.9618708264541589,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Alnus rhombifolia,3681,1846,243430,0.9244908513702256,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Alnus incana,3570,3081,242195,0.8393738740467634,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Alnus serrulata,3539,2929,242347,0.8378897416998777,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Betula occidentalis,2324,1752,243524,0.9471978009983879,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Platanus wrightii,3383,973,244303,0.9084476948074839,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Arbutus menziesii,3612,2042,243234,0.9441802339711493,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Umbellularia californica,0,0,0,,0,0,5,,skip_no_records
Lithocarpus densiflorus,0,0,0,,0,0,5,,skip_no_records
Prosopis glandulosa,0,0,0,,0,0,5,,skip_no_records
Prosopis velutina,3790,2040,243236,0.9004411960002177,100,2,5,,skip_few_folds
Parkinsonia florida,3827,2109,243167,0.9738085753685083,100,2,5,,skip_few_folds
Parkinsonia microphylla,3864,1686,243590,0.6959800028259658,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Olneya tesota,3799,1703,243573,0.9832669710091295,100,2,5,,skip_few_folds
Carnegiea gigantea,3662,1645,243631,0.15751203914534806,100,1,5,,skip_few_folds
Yucca brevifolia,3770,1903,243373,0.9736270118047812,100,2,5,,skip_few_folds
Washingtonia filifera,3878,622,244654,0.9648105181673782,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Sabal palmetto,3444,1650,243626,0.9612670706646721,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Persea borbonia,1522,823,244453,0.942978658987238,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ilex opaca,3547,2617,242659,0.8665381768615973,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Gordonia lasianthus,2373,1370,243906,0.903635204225357,100,2,5,,skip_few_folds
Eucalyptus globulus,2512,769,244507,0.8253235865835583,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Eucalyptus camaldulensis,412,219,245057,0.6829247802114415,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Schinus molle,3858,1213,244063,0.9671467573606229,100,2,5,,skip_few_folds
Jacaranda mimosifolia,120,104,0,,0,0,5,,skip_few_cells
Grevillea robusta,0,0,0,,0,0,5,,skip_no_records
Ficus macrophylla,0,0,0,,0,0,5,,skip_no_records
Cinnamomum camphora,2260,1340,243936,0.9136033240660464,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ligustrum lucidum,0,0,0,,0,0,5,,skip_no_records
Malus domestica,3682,2807,242469,0.7393608876566053,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Malus coronaria,1141,872,244404,0.8249685437937095,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Malus fusca,1168,683,244593,0.8415494786220487,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Pyrus communis,1855,1388,243888,0.7023637885854359,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus serotina,3572,2656,242620,0.7292587335446593,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus virginiana,3492,2491,242785,0.8284174044729686,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus pensylvanica,3577,2946,242330,0.8586590534621372,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus americana,3485,2749,242527,0.7642639618178227,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus avium,2506,1696,243580,0.8154368690522311,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus persica,3748,2603,242673,0.7551706097789579,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus armeniaca,724,469,244807,0.8287857516753874,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus domestica,429,290,244986,0.8327707439515415,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus serrulata,403,91,245185,0.9132654313527241,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus cerasifera,2417,276,245000,0.8399011722471798,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Prunus caroliniana,3780,1800,243476,0.8955979675415542,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Citrus x sinensis,0,0,0,,0,0,5,,skip_no_records
Citrus x limon,0,0,0,,0,0,5,,skip_no_records
Olea europaea,1645,742,244534,0.8051975275587404,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ficus carica,3731,1790,243486,0.7969474070311764,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Punica granatum,1772,864,244412,0.8022516443090499,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Persea americana,460,192,245084,0.7528279782865258,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Crataegus crus-galli,2150,1429,243847,0.7569171524206463,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Crataegus phaenopyrum,604,356,244920,0.8080876949224933,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Sorbus americana,2946,1590,243686,0.9084392609112986,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Sorbus aucuparia,3084,1634,243642,0.8495954056920603,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Cotinus obovatus,695,344,244932,0.8715885240916996,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Chilopsis linearis,3718,2216,243060,0.7929033870193078,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Lagerstroemia indica,895,664,244612,0.8413527320984209,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Vitex agnus-castus,3873,1836,243440,0.8095746579744182,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
