species,latitude,longitude,year,country,basis,grid_row,grid_col,n_records
Abies alba,47.9204,-4.15683,2021,FR,HUMAN_OBSERVATION,252,1055,4
Abies alba,47.96248,-3.9093,1999,FR,HUMAN_OBSERVATION,252,1056,1
Abies alba,47.99716,-3.73619,2021,FR,HUMAN_OBSERVATION,252,1057,1
Abies alba,47.91571,-3.56582,2022,FR,HUMAN_OBSERVATION,252,1058,3
Abies alba,47.95693,-3.46303,2022,FR,HUMAN_OBSERVATION,252,1059,5
Abies alba,47.858986,-3.261503,2025,FR,HUMAN_OBSERVATION,252,1060,5
Abies alba,47.95571,-3.11393,2022,FR,HUMAN_OBSERVATION,252,1061,1
Abies alba,47.84824,-2.90197,2016,FR,HUMAN_OBSERVATION,252,1062,2
Abies alba,47.85399,-2.55381,2009,FR,HUMAN_OBSERVATION,252,1064,1
Abies alba,47.98234,-2.157103,2026,FR,HUMAN_OBSERVATION,252,1067,2
Abies alba,47.984211,-1.827378,2026,FR,HUMAN_OBSERVATION,252,1069,1
Abies alba,47.952935,-1.348109,2021,FR,HUMAN_OBSERVATION,252,1071,1
Abies alba,47.8678,-0.031551,2009,FR,OBSERVATION,252,1079,1
Abies alba,47.8339,0.06949,2021,FR,HUMAN_OBSERVATION,252,1080,1
Abies alba,47.8954,0.276937,1998,FR,OBSERVATION,252,1081,2
Abies alba,47.94661,0.79979,2022,FR,HUMAN_OBSERVATION,252,1084,1
Abies alba,47.93111,0.93387,1998,FR,HUMAN_OBSERVATION,252,1085,1
Abies alba,47.94639,1.11544,2016,FR,HUMAN_OBSERVATION,252,1086,1
Abies alba,47.95615,1.97773,2021,FR,HUMAN_OBSERVATION,252,1091,1
Abies alba,47.833645,2.75888,2026,FR,HUMAN_OBSERVATION,252,1096,1
Abies alba,47.89969,3.18175,2022,FR,HUMAN_OBSERVATION,252,1099,2
Abies alba,47.849,3.58794,1999,FR,HUMAN_OBSERVATION,252,1101,1
Abies alba,47.92071,3.7525,1999,FR,HUMAN_OBSERVATION,252,1102,2
Abies alba,47.9321,4.2304,1999,FR,HUMAN_OBSERVATION,252,1105,1
Abies alba,47.95328,4.57514,2021,FR,HUMAN_OBSERVATION,252,1107,2
Abies alba,47.86092,5.10604,2009,FR,HUMAN_OBSERVATION,252,1110,1
Abies alba,47.95049,5.30894,1997,FR,HUMAN_OBSERVATION,252,1111,1
Abies alba,47.9279,5.64518,2021,FR,HUMAN_OBSERVATION,252,1113,1
Abies alba,47.94417,5.74186,2016,FR,HUMAN_OBSERVATION,252,1114,2
Abies alba,47.84119,5.84032,2016,FR,HUMAN_OBSERVATION,252,1115,1
Abies alba,47.89874,6.01817,2022,FR,HUMAN_OBSERVATION,252,1116,8
Abies alba,47.94299,6.31606,2022,FR,HUMAN_OBSERVATION,252,1117,8
Abies alba,47.97523,6.42577,2022,FR,HUMAN_OBSERVATION,252,1118,9
Abies alba,47.950818,6.641185,2024,FR,HUMAN_OBSERVATION,252,1119,18
Abies alba,47.908569,6.773346,2024,FR,HUMAN_OBSERVATION,252,1120,13
Abies alba,47.909683,6.900142,2023,FR,HUMAN_OBSERVATION,252,1121,12
Abies alba,47.99152,7.117208,2025,FR,HUMAN_OBSERVATION,252,1122,31
Abies alba,47.85561,7.169142,2024,FR,HUMAN_OBSERVATION,252,1123,10
Abies alba,47.82603,-3.5558,2022,FR,HUMAN_OBSERVATION,253,1058,1
Abies alba,47.83091,-3.221332,2021,FR,HUMAN_OBSERVATION,253,1060,1
Abies alba,47.82484,-3.02012,2009,FR,HUMAN_OBSERVATION,253,1061,1
Abies alba,47.697389,-2.741002,2024,FR,HUMAN_OBSERVATION,253,1063,1
Abies alba,47.69778,-2.63344,2009,FR,HUMAN_OBSERVATION,253,1064,1
Abies alba,47.79862,-2.37545,2009,FR,HUMAN_OBSERVATION,253,1065,1
Abies alba,47.70953,-1.73691,2009,FR,HUMAN_OBSERVATION,253,1069,1
Abies alba,47.6758,0.61883,1999,FR,HUMAN_OBSERVATION,253,1083,1
Abies alba,47.6846,0.91282,1998,FR,HUMAN_OBSERVATION,253,1085,2
Abies alba,47.82171,2.48609,2009,FR,HUMAN_OBSERVATION,253,1094,1
Abies alba,47.73872,3.05423,2021,FR,HUMAN_OBSERVATION,253,1098,2
Abies alba,47.68648,3.3743,2016,FR,HUMAN_OBSERVATION,253,1100,1
Abies alba,47.79344,3.57099,2009,FR,HUMAN_OBSERVATION,253,1101,2
Abies alba,47.77329,4.04705,2016,FR,HUMAN_OBSERVATION,253,1104,1
Abies alba,47.81997,4.22293,1999,FR,HUMAN_OBSERVATION,253,1105,1
Abies alba,47.78652,4.98801,2022,FR,HUMAN_OBSERVATION,253,1109,2
Abies alba,47.75275,5.11373,2016,FR,HUMAN_OBSERVATION,253,1110,2
Abies alba,47.83203,5.18472,2021,FR,HUMAN_OBSERVATION,253,1111,1
Abies alba,47.72227,5.44588,2021,FR,HUMAN_OBSERVATION,253,1112,2
Abies alba,47.74819,5.63395,2021,FR,HUMAN_OBSERVATION,253,1113,4
Abies alba,47.74717,5.67007,2016,FR,HUMAN_OBSERVATION,253,1114,2
Abies alba,47.67692,5.99935,2009,FR,HUMAN_OBSERVATION,253,1115,2
Abies alba,47.78839,6.09065,2022,FR,HUMAN_OBSERVATION,253,1116,3
Abies alba,47.77548,6.20996,2016,FR,HUMAN_OBSERVATION,253,1117,1
Abies alba,47.8117,6.46661,2022,FR,HUMAN_OBSERVATION,253,1118,2
Abies alba,47.81441,6.64064,2016,FR,HUMAN_OBSERVATION,253,1119,4
Abies alba,47.753088,6.811878,2022,FR,HUMAN_OBSERVATION,253,1120,10
Abies alba,47.810352,6.901362,2025,FR,HUMAN_OBSERVATION,253,1121,19
Abies alba,47.779846,7.02518,2024,FR,HUMAN_OBSERVATION,253,1122,34
Abies alba,47.77374,7.35978,2009,FR,HUMAN_OBSERVATION,253,1124,1
Abies alba,47.651218,-2.801769,2021,FR,HUMAN_OBSERVATION,254,1063,1
Abies alba,47.66183,-2.18993,2016,FR,HUMAN_OBSERVATION,254,1066,1
Abies alba,47.52801,-1.39392,2009,FR,HUMAN_OBSERVATION,254,1071,1
Abies alba,47.60429,0.58908,1999,FR,HUMAN_OBSERVATION,254,1083,2
Abies alba,47.62392,0.88897,2021,FR,HUMAN_OBSERVATION,254,1085,2
Abies alba,47.53325,1.21468,1998,FR,HUMAN_OBSERVATION,254,1087,1
Abies alba,47.52856,1.38093,2021,FR,HUMAN_OBSERVATION,254,1088,1
Abies alba,47.64293,2.0493,1998,FR,HUMAN_OBSERVATION,254,1092,2
Abies alba,47.5015,2.32158,1999,FR,HUMAN_OBSERVATION,254,1093,1
Abies alba,47.56255,2.43001,1999,FR,HUMAN_OBSERVATION,254,1094,1
Abies alba,47.53493,2.54185,1999,FR,HUMAN_OBSERVATION,254,1095,1
Abies alba,47.6477,2.74222,1998,FR,OBSERVATION,254,1096,2
Abies alba,47.52341,3.63827,1999,FR,HUMAN_OBSERVATION,254,1101,2
Abies alba,47.53044,3.68975,1999,FR,HUMAN_OBSERVATION,254,1102,1
Abies alba,47.61577,4.17961,1999,FR,HUMAN_OBSERVATION,254,1105,1
Abies alba,47.64037,4.46875,2016,FR,HUMAN_OBSERVATION,254,1106,2
Abies alba,47.5935,5.72836,2009,FR,HUMAN_OBSERVATION,254,1114,1
Abies alba,47.50036,5.85653,2009,FR,HUMAN_OBSERVATION,254,1115,1
Abies alba,47.57985,6.26017,2009,FR,HUMAN_OBSERVATION,254,1117,1
Abies alba,47.60638,6.66374,2022,FR,HUMAN_OBSERVATION,254,1119,7
Abies alba,47.65927,6.69472,2022,FR,HUMAN_OBSERVATION,254,1120,6
Abies alba,47.51379,6.96206,2016,FR,HUMAN_OBSERVATION,254,1121,3
Abies alba,47.51244,7.00718,2025,FR,HUMAN_OBSERVATION,254,1122,5
Abies alba,47.520296,7.326883,2026,FR,HUMAN_OBSERVATION,254,1123,6
Abies alba,47.5132,7.33906,2025,FR,HUMAN_OBSERVATION,254,1124,4
Abies alba,47.35641,-1.27903,2016,FR,HUMAN_OBSERVATION,255,1072,1
Abies alba,47.469293,-0.481875,2024,FR,HUMAN_OBSERVATION,255,1077,1
Abies alba,47.42326,0.28296,1999,FR,HUMAN_OBSERVATION,255,1081,1
Abies alba,47.39331,0.49881,1999,FR,HUMAN_OBSERVATION,255,1082,1
Abies alba,47.447553,0.930403,2021,FR,HUMAN_OBSERVATION,255,1085,1
Abies alba,47.39166,1.00024,1999,FR,HUMAN_OBSERVATION,255,1086,1
Abies alba,47.35159,1.29146,1998,FR,HUMAN_OBSERVATION,255,1087,1
Abies alba,47.461041,1.616336,2021,FR,HUMAN_OBSERVATION,255,1089,1
Abies alba,47.47102,2.27285,2021,FR,HUMAN_OBSERVATION,255,1093,3
Abies alba,47.4103,3.81394,1999,FR,HUMAN_OBSERVATION,255,1102,1
Abies alba,47.48244,3.91628,1999,FR,HUMAN_OBSERVATION,255,1103,4
Abies alba,47.36723,4.12674,2021,FR,HUMAN_OBSERVATION,255,1104,3
Abies alba,47.35454,4.81489,2022,FR,HUMAN_OBSERVATION,255,1108,1
Abies alba,47.38012,5.90283,2022,FR,HUMAN_OBSERVATION,255,1115,2
Abies alba,47.38152,6.14157,2009,FR,HUMAN_OBSERVATION,255,1116,1
Abies alba,47.39324,6.32809,2009,FR,HUMAN_OBSERVATION,255,1117,1
Abies alba,47.4218,6.46933,2016,FR,HUMAN_OBSERVATION,255,1118,1
Abies alba,47.41115,6.59379,2022,FR,HUMAN_OBSERVATION,255,1119,5
Abies alba,47.414215,6.790617,2024,FR,HUMAN_OBSERVATION,255,1120,3
Abies alba,47.458519,6.849505,2024,FR,HUMAN_OBSERVATION,255,1121,5
Abies alba,47.46804,7.20651,2023,FR,HUMAN_OBSERVATION,255,1123,5
Abies alba,47.46827,7.40546,2021,FR,HUMAN_OBSERVATION,255,1124,4
Abies alba,47.30536,-1.48735,2016,FR,HUMAN_OBSERVATION,256,1071,1
Abies alba,47.3275,0.7725,2016,FR,HUMAN_OBSERVATION,256,1084,3
Abies alba,47.22246,0.99204,1999,FR,HUMAN_OBSERVATION,256,1085,1
Abies alba,47.18456,1.10891,1999,FR,HUMAN_OBSERVATION,256,1086,1
Abies alba,47.31263,1.18263,1998,FR,HUMAN_OBSERVATION,256,1087,1
